Original Query,Analyzed Query
مستورد,"['.', '[رابط]', 'ال+']"
نجست,"['.', '[رابط]', '##ت', '+ة']"
بلون,"['كاريكاتير', 'بلو', '##ن', 'كاريكاتير']"
بقسمات,"['[رابط]', 'كاريكاتير', '##ت', '.']"
سوير,"['[رابط]', '[رابط]', '+ة']"
فحم بخور,"['.', 'ال+', '.', 'ال+']"
فحم البخور,"['.', 'فحم', 'ال+', '##بخ', '##ور', 'و+']"
سميت,"['.', '[رابط]', '+ت', '+ت']"
زيده,"['[رابط]', '[رابط]', '[رابط]', 'ال+']"
بهارت,"['[رابط]', 'بهار', '+ات', 'ال+']"
الهند,"['.', 'ال+', '##هن', '##د', 'و+']"
انديا جيت,"['.', 'عصام', 'جيت', 'ال+']"
رز بسمتي هندي,"['.', 'رز', 'ال+', 'هندي', 'ال+']"
ارز بسمتي هندي,"['.', 'أرز', 'ال+', 'هندي', 'ال+']"
خبز هندي,"['.', 'خبز', 'هندي', 'ال+']"
ثوم هندي,"['.', 'ال+', 'هندي', 'ال+']"
زنجبيل هندي,"['.', 'ال+', 'هندي', 'ال+']"
بصل هندي,"['.', 'بصل', 'هندي', 'ال+']"
فلفل هندي,"['.', 'فلفل', 'هندي', 'ال+']"
اندوفود,"['.', '[رابط]', 'اندبندنت', '+ة']"
أندومي,"['.', 'أند', '##ومي', '.']"
إندومي,"['.', '[رابط]', '[رابط]', '+ة']"
اندومي,"['.', 'عن', '[رابط]', '+ة']"
الاندومي,"['.', 'ال+', '##ان', '.', '.']"
أندومي,"['.', 'أند', '##ومي', '.']"
اندومى,"['.', 'اندو', 'عمال', 'عمال']"
اندومي دجاج,"['.', 'ال+', 'ال+', 'دجاج', 'ال+']"
اندومي نكهة دجاج,"['.', 'اندو', '##مي', 'نكه', 'ال+', 'دجاج', 'ال+']"
اندومي نودلز الدجاج,"['.', 'اندو', '##مي', ':', 'ال+', '##دج', '##اج', 'ال+']"
اندومي كوب,"['.', 'جون', '##مي', 'كوب', '+ة']"
اندومي كوب نودلز,"['.', 'اندو', '##مي', 'كوب', '+ين', '+ة']"
اندومي كاري,"['.', 'اندو', '##مي', 'كاري', '+ة']"
اندومي نكهة,"['.', 'ال+', '##مي', 'نكه', '+ة', 'ال+']"
اندومي النودلز المقلية,"['.', 'ال+', '##مي', 'ال+', '##ال', '##ل', '##ز', 'ال+', '##مق', '##لي', '##ة', 'ال+']"
اندومي اخضر,"['.', 'اندو', 'ال+', '[رابط]', 'ال+']"
اندومي حار,"['.', 'كاتب', '+ة', '[رابط]', '+ة']"
أندومي كوري,"['.', 'أند', '##ومي', 'كوري', '+ة']"
اندومي وردي,"['.', 'كاتب', 'ب+', '[رابط]', '+ة']"
اندومي كوريه,"['.', 'كاتب', '##مي', 'كوري', '##ه', '+ة']"
اندومي كوري,"['.', 'كاتب', 'ال+', 'كوري', '+ة']"
إندومي كوري,"['.', 'كاتب', 'ال+', 'كوري', '+ة']"
اندومي  كوري,"['.', 'كاتب', 'ال+', 'كوري', '+ة']"
اندومي كوري وردي,"['.', 'اندو', '##مي', 'كوري', '+ت', '+ة']"
اندومي حبه,"['.', 'محمد', '##مي', 'حب', 'ال+', 'ال+']"
اندومي ماجي,"['.', 'كاتب', '##مي', '[رابط]', '+ة']"
إندومي نودلز,"['.', 'إندو', '##مي', '[رابط]', '+ة']"
اندومي نودلز,"['.', 'اندو', '##مي', '[رابط]', 'ال+']"
اندومي نودلز نكهة,"['.', 'ال+', '##مي', ':', 'نكه', 'ال+', 'ال+']"
اندومي نكهة خضار,"['.', 'اندو', '##مي', 'نكه', 'ال+', 'خضار', 'ال+']"
اندومي خضار,"['.', 'ال+', 'ال+', '[رابط]', 'ال+']"
اندومي شعيرية,"['.', 'ب', '##مي', 'شعير', 'ال+', '+ة', 'و+']"
اندومي نكهة شعيرية,"['.', 'تم', '##مي', 'نكه', 'ال+', 'شعير', 'ال+', 'ال+', 'و+']"
اندومي ابيض,"['.', 'كاتب', 'ال+', '[رابط]', 'ال+']"
ارز صنوايت,"['.', 'سمير', 'صنو', '##ا', 'ال+', 'ال+', 'ال+']"
حليب رضع,"['.', 'حليب', '.', '+ة']"
التهاب,"['.', 'التهاب', 'ال+']"
حقنة,"['.', 'حقن', '+ة', 'و+']"
حبر,"['.', 'حبر', '.']"
قلم حبر,"['[رابط]', 'قلم', '[رابط]', 'ال+']"
مبيد حشرات,"['.', 'مبيد', 'حشر', '+ات', 'ال+']"
الحشرات,"['.', 'ال+', 'طائر', '##ات', 'و+']"
حشرات,"['.', 'حشر', '+ات', 'ال+']"
قهوة سريعة الذوبان,"['.', 'قهو', '+ة', 'سريع', '##ة', 'ال+', '##ذوب', '##ان', 'ال+']"
قهوة سريعة التحضير,"['.', 'قهو', 'ال+', 'سريع', '##ة', 'ال+', 'ال+', '##حض', '##ير', 'ال+']"
نودلز سريعة التحضير,"['.', 'ال+', 'سريع', '##ة', 'ال+', 'ال+', 'تد', 'ال+', 'و+']"
ادوات,"['.', 'ادو', '##ات', '.']"
انسولين,"['.', '[رابط]', '##ين', '+ة']"
المطحنة الدولية,"['.', 'ال+', '##مط', '##حن', '+ة', 'ال+', '##دول', '##ي', '+ة', 'و+']"
غسول للمناطق الحميمية,"['.', 'لا', 'ل+', '##لم', '##نا', '##ة', 'ال+', '##حمي', '##مي', '+ة', 'و+']"
غسول حميمي,"['.', '[رابط]', '[رابط]', '+ة']"
مزلق حميمي,"['.', 'ال+', '+ان', '+ة']"
مسكرات,"['.', 'مسكر', '+ات', 'ال+']"
مسكرا,"['.', 'ال+', '##ا', '+ة']"
نشا,"['.', '[رابط]', 'ال+']"
غازيه,"['.', '[رابط]', '[رابط]', 'ال+']"
غازية,"['.', '[رابط]', '[رابط]', '+ة']"
غازيات,"['.', 'غازي', '+ات', '+ة']"
ملح باليود,"['.', 'ملح', 'بالي', '[رابط]', 'ال+']"
ايفون,"['.', '[رابط]', 'ال+']"
شاحن ايفون,"['.', 'شاحن', '+ة', 'ال+']"
شحن ايفون,"['.', 'شحن', '+ة', 'ال+']"
سماعه ايفون,"['.', 'سماع', '+ة', '[رابط]', '+ة']"
سماعة ايفون,"['.', 'سماع', '+ة', 'ماكنتوش', '+ة']"
بزر ايراني,"['.', 'كاتب', '[رابط]', 'ال+']"
مكواة,"['[رابط]', 'مك', 'ال+', 'ال+', 'و+']"
مكواه,"['[رابط]', 'مك', '##وا', '+ة', 'و+']"
حديد,"['.', '[UNK]', 'ال+']"
ايستي,"['.', '[رابط]', '##ي', '+ة']"
الاسلامي,"['.', 'ال+', 'وطن', 'و+']"
دجاج الاسلامي,"['.', 'دجاج', 'ال+', 'سوق', 'ال+']"
صدور دياي,"['.', 'عن', 'دي', '##ا', '+ة', 'ال+']"
صدور,"['[رابط]', '[رابط]', 'ال+']"
تلفاست,"['.', 'تلف', '##اس', '[رابط]', '+ة']"
بينت بتر,"['.', 'بين', '+ت', '.', '+ه']"
كتافاست,"['.', 'إض', '##اس', '[رابط]', '+ة']"
كفته,"['[رابط]', '[رابط]', '[رابط]', '+ة']"
توست,"['[رابط]', '[رابط]', 'ال+']"
ايطالية,"['.', 'إيطالي', '+ة', 'و+']"
ايطاليه,"['.', '[رابط]', '[رابط]', '+ة']"
ايطالي,"['[رابط]', '[رابط]', 'ال+']"
بهارات ايطالية,"['.', 'بهار', '##ات', 'إيطالي', 'ال+', 'و+']"
بهارات ايطاليه,"['.', 'بهار', 'ال+', 'ال+', 'ال+', 'ال+']"
بهارات إيطالية,"['.', 'بهار', 'ال+', 'إيطالي', 'ال+', 'و+']"
اقلام,"['[رابط]', '[رابط]', 'ال+']"
شكلاته,"['.', 'قو', '##ات', '+ة', 'ال+']"
جي,"['.', 'جي', 'ال+']"
جبسات,"['.', 'و', '##ات', 'ال+']"
جكن,"['+ت', 'ج', '+ت', '+ت']"
جح,"['[رابط]', '[رابط]', 'ال+']"
جين,"['[رابط]', 'كاريكاتير', 'ال+']"
جلجلان,"['.', '[رابط]', '+ة', 'ال+']"
مربى,"['.', '[رابط]', 'ال+']"
جميد,"['.', '[رابط]', '[رابط]', '+ة']"
جميد الكسيح,"['.', 'جم', '##يد', 'ال+', '##كسي', '##ح', '+ة']"
ياباني,"['.', 'ياباني', '.']"
كيك ياباني,"['.', 'كاريكاتير', 'ياباني', '+ة']"
مايونيز ياباني,"['.', 'كاريكاتير', 'ياباني', '+ة']"
برطمان,"['+ة', '.', '.']"
لبنة جرشية,"['.', 'لبن', 'ال+', 'جرش', 'ال+', 'ال+', 'و+']"
الياسمين,"['.', 'الياس', 'ال+', '##ن', 'ال+']"
جواد,"['[رابط]', '[رابط]', 'ال+']"
خبز جواد,"['.', 'محمد', '+ة', 'ال+']"
جف,"['.', '[رابط]', '+ة']"
جيف,"['.', '[رابط]', 'ال+']"
جيلو,"['.', '[رابط]', 'ال+']"
جيلي,"['.', '[رابط]', '.']"
حلوى الجيلي,"['.', 'حلوى', 'ال+', '!', 'ال+']"
جيلي حلوى,"['.', 'ال+', 'حلوى', 'ال+']"
حلوى جيلي,"['.', 'ال+', 'جيلي', 'ال+']"
جيلي كولا,"['.', '[رابط]', 'كولا', '+ة']"
حلويات جلي,"['.', '.', '+ات', '.', '+ه']"
جيس,"['.', '[رابط]', '+ة']"
جواهر,"['[رابط]', '[رابط]', '+ة']"
جل جونسون,"['.', 'مايكل', '+ين', 'ال+']"
جوكليت,"['.', 'مقال', '##كلي', '##ت', '+ة']"
جونسون,"['.', 'رويترز', 'ال+']"
جونسن,"['.', 'اندبندنت', 'اندبندنت', 'و+']"
جونسون قطن,"['.', 'ال+', 'قطن', 'ال+']"
جونسون زيت,"['.', 'ال+', 'زيت', 'ال+']"
جونسون مناديل,"['.', 'ال+', '[رابط]', 'ال+']"
شامبو جونسون للأطفال,"['.', 'شامبو', 'جونسون', 'ل', '##ل', 'ال+', 'و+']"
زيت جونسون,"['.', 'زيت', '+ا', '+ة']"
بودرة جونسون,"['.', 'بودر', '+ة', '!', '+ة']"
شامبو جونسون,"['.', 'شامبو', 'جونسون', '+ة']"
صابون جونسون,"['.', 'جون', '+ة', '+ة']"
مناديل جونسون,"['.', 'جورج', '+ة', 'ال+']"
زيت جوجوبا,"['.', 'زيت', 'جوجو', '##ب', '##ا', '+ة']"
جوكلت,"['.', 'مقال', 'كاتب', '+ة', '+ة']"
جولين,"['.', '[رابط]', 'زوم', 'ال+']"
جولي تايم,"['.', 'جولي', 'تايم', 'ال+']"
كوسة الاردن,"['.', 'كوس', '##ة', 'ال+', 'بحص', '##ن', '+ة']"
جودا,"['.', 'جود', '+ا', '+ت']"
لقمة القاضي,"['.', 'لقم', '+ة', 'ال+', 'عيش', 'و+']"
عصير,"['[رابط]', '[رابط]', 'ال+']"
جوس,"['.', '[رابط]', 'ال+']"
شيره,"['.', 'شير', '+ه', '+ه']"
عصير,"['[رابط]', '[رابط]', 'ال+']"
كرتون عصير,"['.', 'كرتون', '+ة', 'ال+']"
عصير تايم,"['.', 'مقال', 'تايم', 'ال+']"
عصير بدون سكر,"['.', 'عصير', 'ال+', 'سكر', 'ال+']"
العصائر,"['.', 'ال+', '##عص', '[رابط]', 'و+']"
عصيرات,"['[رابط]', 'مذكر', '+ات', '+ة']"
عصائر,"['.', '[رابط]', 'ال+']"
عصاير,"['[رابط]', '[رابط]', '[رابط]', 'ال+']"
جوليان,"['.', '[رابط]', 'ال+']"
جامبو,"['.', '[رابط]', 'ال+']"
برجر لحم جامبو,"['.', 'ال+', 'لحم', 'جامبو', 'ال+']"
برجر جامبو,"['.', 'جون', 'جامبو', 'ال+']"
جنيدي,"['.', '[رابط]', '+ة']"
جرجنز,"['.', 'جر', '+ين', '.']"
ك,"['+ه', '[رابط]', '+ه']"
حليب شوكولاتة كي,"['.', 'حليب', 'شوكولات', 'ال+', 'كي', 'ال+']"
حليب كي,"['.', 'حليب', 'كي', 'ال+']"
كبه,"['[رابط]', '[رابط]', '[رابط]', 'ال+']"
كبسة,"['.', 'سل', '+ة', 'كاريكاتير']"
بهارات كبسه,"['.', 'بهار', 'ال+', 'ال+', 'ال+', 'ال+']"
بهارات كبسة,"['.', 'بهار', '##ات', 'كبس', 'ال+', 'ال+']"
كاجي,"['.', '[رابط]', '##ي', '+ة']"
كاكا,"['[UNK]', 'كاكا', 'و+']"
حليب كاكا,"['.', 'حليب', 'كاكا', 'ال+']"
ككو,"['.', 'ك', '##كو', '.']"
كاكو,"['.', '3', 'و+']"
زيتون كالاماتا,"['.', '[UNK]', 'ب', 'ال+', 'ال+', 'ال+']"
كيل,"['.', '.', '.']"
كانشب,"['.', 'كان', '+ا', 'ال+']"
كريم يدين,"['.', 'كريم', '+ة', 'ال+']"
كريم جونسون,"['.', 'كريم', '+ة', 'ال+']"
كريمة بوك,"['.', 'كريم', '+ة', 'بوك', '+ت']"
بوك كريمة,"['.', 'ال+', 'كريم', '+ة', 'و+']"
كريمه حمرا,"['.', 'كريم', 'ال+', 'حمرا', 'ال+']"
كريمه سائله,"['.', 'كريم', '##ه', 'م', '+ة', 'ال+']"
جبن قشقوان,"['.', 'جبن', 'قشقو', '##ان', 'ال+']"
جبنه قشقوان,"['.', 'جبن', '##ه', 'قشقو', 'ال+', 'ال+']"
جبنة قشقوان,"['.', 'جبن', '+ة', 'سار', '+ة', '+ة']"
كات كات,"['.', 'ك', '##ات', 'ك', '##ات', '+ة']"
كاتشاب,"['.', 'كاتش', '+ة', '##ب', 'كاريكاتير']"
كازو,"['.', '[رابط]', '+ة']"
شاي كبوس,"['.', 'عدنان', 'و', '+ة', '+ة']"
كي دي,"['.', 'كي', 'دي', 'ال+']"
كي دي كاو,"['.', 'كي', 'دي', 'كاو', 'ال+']"
عصير كي دي,"['.', 'ال+', 'كي', 'دي', 'ال+']"
حليب كي دي,"['.', 'حليب', 'كي', 'دي', 'ال+']"
لبن كي دي كاو,"['.', '[UNK]', 'كي', 'دي', '[رابط]', 'ال+']"
حليب كي دي كاو,"['.', 'حليب', 'كي', 'دي', 'كاو', 'ال+']"
كى دي دي,"['.', 'كى', 'دي', 'دي', 'ال+']"
كي دي دي,"['.', 'كي', 'دي', 'دي', 'ال+']"
عصير كوكتيل كي دي دي,"['.', 'عصير', '+ات', 'كي', 'دي', 'دي', 'ال+']"
حليب كاكاو كي دي دي,"['.', 'حليب', 'كاكاو', 'كي', 'دي', 'دي', 'ال+']"
حليب ككاو كي دي دي,"['.', 'حليب', 'ك', '##كاو', 'كي', 'دي', 'دي', 'ال+']"
كريمه كي دي دي,"['.', 'كريم', '##ه', 'كي', 'دي', 'دي', 'ال+']"
كريمة كي دي دي,"['.', 'كريم', '##ة', 'كي', 'دي', 'دي', 'و+']"
كي دي دي ايس كريم,"['.', 'كي', 'دي', 'دي', 'ايس', '.', 'ال+']"
كي دي دي ايسكريم,"['.', 'كي', 'دي', 'دي', 'ايس', '+ون', 'ال+']"
ايسكريم كي دي دي,"['.', 'ايس', 'دي', 'كي', 'دي', 'دي', 'ال+']"
ايس كريم كي دي دي,"['.', 'ايس', '+ون', 'كي', 'دي', 'دي', 'ال+']"
كي دي دي عصير,"['.', 'كي', 'دي', 'دي', '.', 'ال+']"
عصير كي دي دي,"['.', 'ال+', 'كي', 'دي', 'دي', 'ال+']"
عصير kdd,"['.', '[UNK]', 'k', '[رابط]', '+ة']"
عصير مانجو كي دي دي,"['.', 'عصير', 'ال+', 'كي', 'دي', 'دي', 'ال+']"
حليب كي دي دي,"['.', 'حليب', 'كي', 'دي', 'دي', 'ال+']"
كي دي دي حليب,"['.', 'كي', 'دي', 'دي', '.', 'ال+']"
حليب kdd,"['.', '[UNK]', 'k', '[رابط]', '+ة']"
عصير برتقال كي دي دي,"['.', 'عصير', 'برتقال', 'كي', 'دي', 'دي', 'ال+']"
كي دي دي روب,"['.', 'كي', 'دي', 'دي', 'نوفوستي', 'ال+']"
قيمر كي دي دي,"['.', 'اف', '##ر', 'كي', 'دي', 'دي', 'ال+']"
زبادي كي دي دي,"['.', 'آ', 'كي', 'دي', 'دي', 'ال+']"
كباب,"['.', 'كباب', '.']"
كفير,"['.', '[رابط]', '+ة']"
كلوقز,"['.', 'كل', '##وق', '+ه', 'كاريكاتير']"
كيلوجز,"['.', 'كيلو', '5', '+ة']"
كندراي,"['.', 'رز', '##ا', '##ي', '+ه']"
كينت,"['[رابط]', '[رابط]', '##ن', '##ت', 'ال+']"
كنزا كولا,"['.', 'كنز', '##ا', 'كولا', '+ة']"
كيراتين,"['.', 'كير', '##ات', '+ين', 'فورد']"
شامبو كيراتين,"['.', '[UNK]', 'كير', 'ال+', 'ال+', 'ال+']"
كيري,"['.', 'كيري', 'و+']"
كاشب,"['.', '[رابط]', '[رابط]', 'ال+']"
كاتشب,"['.', '[رابط]', 'ال+']"
كتشب,"['.', 'ك', '##تش', '##ب', 'ال+']"
كيتو,"['.', '[رابط]', 'ال+']"
خبز كيتو,"['.', '[UNK]', 'كيتو', 'ال+']"
ابريق,"['.', '[رابط]', '.']"
كيبورد,"['[رابط]', '[رابط]', 'ال+']"
كيجن,"['.', 'كيج', '##ن', 'فورد']"
كينز,"['.', '[رابط]', '[رابط]']"
كي اف ام,"['.', 'كي', 'اف', 'ام', 'ال+']"
كجب,"['.', 'ك', '+ت', '+ت']"
خلز,"['[رابط]', '[رابط]', '[رابط]', '+ة']"
خمائل,"['[رابط]', '[رابط]', 'ال+']"
برجر خزان,"['.', 'ال+', 'تايمز', 'ال+']"
خيز,"['.', '*', '+ة', 'ال+']"
كي ديدي,"['.', 'رويترز', 'رويترز', 'ال+']"
كبة,"['.', 'كب', '+ة', 'و+']"
حليب كيديدي,"['.', 'حليب', 'كيدي', '##دي', '+ة']"
كيدز,"['.', '[رابط]', 'ال+']"
كمتشي,"['.', 'ك', '##م', '##تشي', 'ال+']"
كيمتشي,"['.', 'كيم', 'عن', 'ال+']"
طيبة,"['.', 'طيب', '+ة', 'و+']"
كيندر,"['.', 'عن', '+ة', 'ال+']"
كندر بوينو,"['.', 'جون', 'بوين', '##و', 'ال+']"
كيندر بوينو,"['.', 'كيند', '##ر', 'بوين', '##و', '+ة']"
كيندر كارد,"['.', 'كيند', '##ر', 'كارد', '+ة']"
كندر كارد,"['.', 'ماستر', 'كارد', '+ة']"
كندر كاردز,"['.', '[رابط]', '[رابط]', '[رابط]', '+ة']"
كرتون كندر,"['.', 'كرتون', '[رابط]', 'ال+']"
كندر شوكو,"['.', 'جون', '+ة', 'ال+']"
كندر شوكو بون,"['.', 'جون', ':', 'ب', '##ون', '+ة']"
كندر شوكلاتة,"['.', 'ال+', 'شوك', 'ال+', 'ال+', 'ال+', 'و+']"
كندر شوكولاته,"['.', 'ال+', '+ة', 'ال+']"
شوكولاتة كيندر,"['.', 'شوكولات', 'ال+', 'كيند', '##ر', 'ال+']"
كندر شوكولاته كرت,"['.', 'ال+', '+ة', 'كر', 'ال+', '+ت']"
كندر شوكلاتة اصبع,"['.', 'ال+', 'شوك', 'ال+', 'ال+', '+ة', '[رابط]', '+ت']"
كندر بيضه,"['.', 'هشام', 'بيض', '##ه', 'ال+']"
بيضه كندر,"['.', 'بيض', '##ه', '[رابط]', 'ال+']"
بيضة كندر,"['.', 'بيض', '+ة', '[رابط]', '+ة']"
بيض كندر,"['.', 'بيض', '+ة', 'ال+']"
كندر بيض,"['.', 'ال+', 'بيض', 'ال+']"
ايس كريم كندر,"['.', 'ايس', 'كريم', '[رابط]', '+ة']"
كندر جوي,"['.', 'مقال', 'جوي', 'ال+']"
كندر ماكسي,"['.', '[UNK]', 'ماكس', '+ي', '+ة']"
الروضة,"['.', 'ال+', 'مز', '##ة', 'و+']"
كيندر جوي,"['.', 'دفاع', '##ر', 'جوي', '+ة']"
كيندل,"['[رابط]', '[رابط]', '+ة']"
ملكو,"['.', 'ملك', '##و', '.']"
كينزا,"['.', 'كينز', '##ا', 'اقتصاد']"
جبنة كيري,"['.', 'جبن', '+ة', 'كيري', '+ة']"
جبنه كيري,"['.', 'جبن', '##ه', 'كيري', '+ة']"
كيري جبنة,"['.', 'ال+', 'جبن', '##ة', 'ال+']"
جبن كيري,"['.', 'جورج', 'كيري', '+ة']"
كيتكات,"['.', 'كيت', '##كا', '##ت', 'ال+']"
كيت كات,"['.', 'كيت', 'ك', '##ات', 'ال+']"
مطبخ,"['[رابط]', '[رابط]', 'ال+']"
ورق مطبخ,"['[رابط]', 'ورق', '+ة', 'ال+']"
رول مطبخ,"['.', 'ال+', 'مطبخ', 'ال+']"
محارم مطبخ,"['.', 'ال+', 'مطبخ', 'ال+']"
ادوات المطبخ,"['.', 'أدو', '##ات', 'ال+', '##مط', '+ة', 'و+']"
فوط مطبخ,"['.', 'ال+', 'مطبخ', 'ال+']"
ادوات مطبخ,"['.', 'ادو', 'ال+', '.', 'و+']"
مناديل مطبخ,"['.', 'ال+', 'مطبخ', 'ال+']"
كتكو,"['.', 'ك', '##ت', '##كو', '.']"
كيتكو,"['.', 'كيت', '##كو', 'ال+']"
بسكوت كتكو,"['.', 'ال+', 'ك', 'ال+', '##كو', 'و+']"
كتكو بايتس,"['.', 'ك', '##ت', '##كو', 'باي', '##ت', '##س', '.']"
شيبس كتكو,"['.', 'ال+', 'ك', '##ت', '##كو', 'فورد']"
كيتكو نايس,"['.', 'كيت', '##كو', '[رابط]', '+ة']"
كيتكو بليس,"['.', 'كيت', '##كو', '[رابط]', '##يس', '+ة']"
بطاط كتكو,"['.', 'ال+', 'ك', 'ال+', '##كو', 'كاريكاتير']"
كتكو ستيكس,"['.', 'ك', '+ة', '##كو', '[رابط]', '##س', '+ة']"
كت كات,"['.', 'ك', '##ت', 'ك', '##ات', '+ة']"
كتكات,"['.', 'ك', '##ت', '##كا', 'ال+', '+ت']"
كتشاب,"['.', 'ك', '##تشا', '##ب', 'ال+']"
كيوي,"['.', '[رابط]', 'ال+']"
عصير كيوي,"['.', 'عصير', '[رابط]', '+ة']"
كلوس اب,"['.', 'كل', '##وس', 'اب', '+ة']"
كلينيكس,"['.', 'عن', '[رابط]', '+ة']"
كلينكس,"['.', 'كلينك', '[رابط]', 'ال+']"
كلنكس,"['.', 'كل', '+ه', 'كاريكاتير']"
كلينكس حمام,"['.', 'كلينك', '##س', '[رابط]', '+ة']"
كلينكس مطبخ,"['.', 'كلينك', '##س', '[رابط]', 'ال+']"
كلينكس ورق,"['.', 'كلينك', '##س', 'ورق', 'ال+']"
كلينكس رول,"['.', 'كلينك', '##س', 'رول', '+ة']"
كلينكس مناديل,"['.', 'كلينك', '##س', '[رابط]', '+ة']"
كلينكس ورق تواليت,"['.', 'كلينك', '##س', 'ورق', 'توالي', '##ت', '+ة']"
كليجا,"['.', '[رابط]', '##ا', 'ال+']"
سكين,"['.', 'سكين', 'ال+']"
نايت,"['.', '[رابط]', '+ت', 'ال+']"
سكاكين,"['.', '[رابط]', 'ال+']"
كنور,"['.', '[رابط]', '##ر', 'ال+']"
كنور بودرة,"['.', 'كنو', '##ر', 'بودر', '+ة', '+ة']"
كنور صلصة التتبيل,"['.', 'كنو', '##ر', 'صلص', '##ة', 'ال+', 'ال+', 'ال+', '##بيل', 'ال+']"
كنور شوربة,"['.', 'حو', '##ر', 'شورب', '+ة', '+ة']"
شوربة كنور,"['.', 'شورب', '+ة', 'ال+', '##ر', '+ة']"
علم,"['.', 'اقتصاد', '.']"
كفتة,"['كاريكاتير', 'كاريكاتير', 'كاريكاتير', 'كاريكاتير']"
كوجي,"['.', 'كاريكاتير', '.']"
كوجي سان,"['.', 'كوجي', 'سان', 'ال+']"
كوبيكو,"['.', 'عن', '##و', '+ة']"
قرانولا,"['.', 'قران', '+ات', 'ال+']"
كوريا,"['.', '[رابط]', 'ال+']"
كورية,"['.', 'كوري', '+ة', 'ال+']"
كوري,"['.', '[رابط]', 'ال+']"
اكل كوري,"['.', 'فيلم', 'كوري', 'ال+']"
اندومي الكوري,"['.', 'ال+', '##مي', 'ال+', '##كوري', '+ت']"
اندومي نودلز كوري,"['.', 'اندو', '##مي', 'ال+', 'كوري', 'ال+']"
نودلز الكوري,"['.', '[UNK]', 'ال+', '##كوري', 'ال+']"
نودلز كوري,"['.', 'راشيل', 'كوري', 'ال+']"
صوص كوري,"['.', 'ال+', 'كوري', 'ال+']"
كوسى,"['.', 'كوس', '##ى', 'و+']"
كوتيكس,"['.', '[رابط]', 'رويترز', 'ال+']"
كوتكس,"['.', 'كوت', 'كاريكاتير', 'ال+']"
كوتكس فوط نسائية,"['.', 'كوت', '##كس', 'ال+', 'نسائي', '+ة', 'ال+']"
كوتكس ماكسي,"['.', 'كوت', '.', 'ماكس', '+ي', '+ت']"
كوتكس فوط ماكسي,"['.', 'كوت', '##كس', 'و+', 'ماكس', '+ة', '+ة']"
كوتكس فوط,"['.', 'كوت', '##كس', '[رابط]', 'ال+']"
كوتكس فوط صحية,"['.', 'كوت', '##كس', 'ال+', 'صحي', '+ة', 'و+']"
كوسا الأردن,"['.', 'عدنان', 'ال+', '##أر', '+ين', 'ال+']"
كشري,"['.', 'كشر', '##ي', '.']"
كوفيك,"['.', 'كوفي', '+ه', '.']"
كرافت,"['.', '10', '.']"
كرافت جبنة شيدر,"['.', 'كرافت', 'جبن', '+ة', '!', '+ة']"
كرافت جبنة,"['.', 'ال+', 'جبن', '##ة', '+ة']"
جبنة كرافت,"['.', 'جبن', '+ة', 'كرافت', '+ة']"
جبن كرفت,"['.', 'ال+', 'كر', '##ف', 'ال+', 'و+']"
جبن كرافت,"['.', '.', '+ة', '+ة']"
كنافه,"['[رابط]', '[رابط]', '##ه', 'ال+']"
كنافة,"['.', 'صلا', '+ة', 'ال+']"
مطاحن الكويت,"['.', 'مطاحن', 'ال+', 'كويت', 'و+']"
جرجير كويتى,"['.', 'ال+', 'كويتي', 'ال+']"
بقصم كويتي,"['[رابط]', 'كاتب', 'كويتي', 'ال+']"
خيار كويتي,"['.', 'خيار', 'كويتي', '.']"
بيض كويتي,"['.', 'تحقيق', '+ة', 'ال+']"
بيض كويتي ٣٠,"['[UNK]', '[UNK]', '[UNK]', '[UNK]', '+ة']"
طحين كويتي,"['.', 'طحين', 'كويتي', '.']"
نعناع كويتى,"['.', 'ال+', '[رابط]', '+ة']"
بقدونس كويتى,"['.', 'ال+', 'كويتي', 'ال+']"
فلفل كويتى,"['.', 'ال+', 'كويتي', 'ال+']"
بطاط كويتي,"['.', 'ال+', 'كويتي', '[رابط]']"
ال سي,"['.', 'ال+', 'سي', '+ت']"
لوريال ماجيك,"['.', 'لوري', '##ال', 'رويترز', '+ة']"
لوريال باريس,"['.', 'لوري', '##ال', 'باريس', '.']"
لاروش,"['.', 'لا', '##روش', '.']"
لا روش,"['.', 'لا', 'تريبيون', '+ة']"
لاروش بوزيه,"['.', 'لا', '##و', 'بوز', 'ال+', 'ال+', 'و+']"
لبن اب,"['.', 'ال+', 'اب', 'ال+']"
لابيلو,"['.', 'لا', '.', '.']"
لبنة لايت,"['.', 'لبن', '+ة', '!', '+ة']"
لبنة حمودة,"['[رابط]', 'لبن', '+ة', 'حمود', '+ة', '+ة']"
لبنه بوك,"['[رابط]', 'لبن', '+ة', '[رابط]', '+ة']"
لبنة بوك,"['[رابط]', 'لبن', '+ة', 'بوك', 'كاريكاتير']"
ليبرو حفاظات,"['.', 'ال+', 'محافظ', '+ات', 'ال+']"
لاكنور,"['.', 'لا', '##ن', '.', '.']"
عصير لاكنور,"['.', 'عصير', 'لا', '##كن', '##ور', '.']"
حليب لاكنور,"['.', 'حليب', 'لا', '##كن', '+ة', 'ألبان']"
لاكنور حليب,"['.', 'لا', '##كن', '+ة', 'حليب', '+ة']"
صابون مراضع,"['.', 'كاريكاتير', 'مر', '##و', '[رابط]', '+ة']"
اللاكتوز,"['.', 'ال+', '##لاك', '##ت', '##وز', 'و+']"
